Plik,Kolory,Rezystancja
resistor (11915).jpg,BLACK-ORANGE-BLUE-GREEN,3000000
resistor (11916).jpg,BLACK-ORANGE-BLUE-ORANGE-GREEN,3000000
resistor (11917).jpg,BLACK-ORANGE-BLUE-ORANGE-GREEN,3000000
resistor (11918).jpg,GRAY-BLACK-GREEN-ORANGE-BLUE,8000000
resistor (11919).jpg,GRAY-GRAY-BLACK-BROWN-ORANGE,88
resistor (1192).jpg,BLUE-BLACK,BRAK
resistor (11920).jpg,BLACK-ORANGE-BLUE-ORANGE-GREEN,3000000
resistor (11921).jpg,WHITE-GREEN-BLUE,95000000
resistor (11922).jpg,BLACK-BLACK-BLACK-BROWN-BLACK,BRAK
resistor (11923).jpg,BROWN-BLACK-ORANGE-BLUE-ORANGE,10000
resistor (11924).jpg,YELLOW-BROWN-VIOLET-ORANGE,410000000
resistor (11925).jpg,YELLOW-BROWN-VIOLET-BROWN-ORANGE,410000000
resistor (11926).jpg,YELLOW-VIOLET-BROWN-ORANGE-RED,470
resistor (11927).jpg,WHITE-GRAY-WHITE-GRAY,98000000000
resistor (11928).jpg,GRAY-GRAY,BRAK
resistor (11929).jpg,YELLOW-BROWN-VIOLET-BROWN-ORANGE,410000000
resistor (1193).jpg,BLACK-ORANGE-BLUE,3000000
resistor (11930).jpg,YELLOW-BROWN-VIOLET-ORANGE-RED,410000000
resistor (11931).jpg,WHITE-GRAY-WHITE-GRAY,98000000000
resistor (11932).jpg,GRAY-GRAY-YELLOW-BROWN-ORANGE,880000
resistor (11933).jpg,YELLOW-BROWN-VIOLET-ORANGE-RED,410000000
resistor (11934).jpg,GRAY-GRAY,BRAK
resistor (11935).jpg,YELLOW-VIOLET-RED,4700
resistor (11936).jpg,GRAY-GRAY-GRAY,8800000000
resistor (11937).jpg,GRAY-GRAY-GRAY,8800000000
resistor (11938).jpg,ORANGE-YELLOW-VIOLET,340000000
resistor (11939).jpg,YELLOW-BROWN-VIOLET-RED,410000000
resistor (1194).jpg,BLUE-BLACK,BRAK
resistor (11940).jpg,YELLOW-BROWN-ORANGE-RED,41000
resistor (11941).jpg,YELLOW-VIOLET-ORANGE-RED,47000
resistor (11942).jpg,BLACK-ORANGE-VIOLET-YELLOW,30000000
resistor (11943).jpg,YELLOW-VIOLET-ORANGE,47000
resistor (11944).jpg,GRAY-GRAY-BROWN,880
resistor (11945).jpg,BLACK-GRAY-GRAY-BROWN-ORANGE,800000000
resistor (11946).jpg,WHITE-GRAY-GRAY,9800000000
resistor (11947).jpg,YELLOW-BROWN-VIOLET-ORANGE-RED,410000000
resistor (11948).jpg,YELLOW-BROWN-VIOLET-ORANGE,410000000
resistor (11949).jpg,BROWN-YELLOW-BROWN-VIOLET-ORANGE,140
resistor (1195).jpg,WHITE-BLUE-ORANGE-BLACK,96000
resistor (11950).jpg,GRAY-GRAY,BRAK
resistor (11951).jpg,YELLOW-BROWN-BLACK-BROWN-RED,41
resistor (11952).jpg,YELLOW-BROWN-VIOLET-BROWN-ORANGE,410000000
resistor (11953).jpg,BROWN-YELLOW-VIOLET-ORANGE,140000000
resistor (11954).jpg,WHITE-YELLOW-VIOLET-RED-BROWN,940000000
resistor (11955).jpg,BLACK-RED-ORANGE-VIOLET-BROWN,2000
resistor (11956).jpg,YELLOW-BROWN-VIOLET-ORANGE-RED,410000000
resistor (11957).jpg,YELLOW-BROWN-VIOLET-ORANGE-RED,410000000
resistor (11958).jpg,GRAY-GRAY-GRAY-GRAY-GRAY,8800000000
resistor (11959).jpg,YELLOW-VIOLET-ORANGE-RED,47000
resistor (1196).jpg,BLUE-BLACK,BRAK
resistor (11960).jpg,GRAY-GRAY,BRAK
resistor (11961).jpg,BROWN-YELLOW-BROWN-VIOLET-ORANGE,140
resistor (11962).jpg,BROWN-YELLOW-BROWN-VIOLET-ORANGE,140
resistor (11963).jpg,BLACK-RED-VIOLET-YELLOW,20000000
resistor (11964).jpg,YELLOW-BROWN-VIOLET-ORANGE-RED,410000000
resistor (11965).jpg,GRAY-GRAY,BRAK
resistor (11966).jpg,WHITE-WHITE-RED-WHITE-VIOLET,9900
resistor (11967).jpg,YELLOW-BROWN-ORANGE,41000
resistor (11968).jpg,ORANGE-YELLOW,BRAK
resistor (11969).jpg,ORANGE,BRAK
resistor (1197).jpg,ORANGE-BLACK-BLUE-ORANGE-GRAY,30000000
resistor (11970).jpg,VIOLET-YELLOW-WHITE-WHITE-WHITE,74000000000
resistor (11971).jpg,WHITE-WHITE-WHITE-WHITE-VIOLET,99000000000
resistor (11972).jpg,WHITE-WHITE-WHITE-VIOLET-BROWN,99000000000
resistor (11973).jpg,BROWN-VIOLET-WHITE-WHITE,17000000000
resistor (11974).jpg,YELLOW,BRAK
resistor (11975).jpg,WHITE-WHITE-WHITE-VIOLET-BROWN,99000000000
resistor (11976).jpg,BROWN-BROWN-YELLOW-VIOLET-RED,110000
resistor (11977).jpg,WHITE-WHITE-WHITE-RED-WHITE,99000000000
resistor (11978).jpg,RED-BROWN-ORANGE-VIOLET-BROWN,21000
resistor (11979).jpg,GRAY-GRAY-GRAY-GRAY-ORANGE,8800000000
resistor (1198).jpg,ORANGE-GREEN-BLUE-ORANGE,35000000
resistor (11980).jpg,ORANGE-YELLOW,BRAK
resistor (11981).jpg,WHITE-WHITE-WHITE-VIOLET-BROWN,99000000000
resistor (11982).jpg,RED-VIOLET-BROWN-YELLOW-BROWN,270
resistor (11983).jpg,BROWN-BROWN-VIOLET-BROWN-BROWN,110000000
resistor (11984).jpg,WHITE-WHITE-WHITE-WHITE-WHITE,99000000000
resistor (11985).jpg,WHITE-WHITE-WHITE-WHITE-WHITE,99000000000
resistor (11986).jpg,BROWN-BROWN-BLACK-BROWN-ORANGE,11
resistor (11987).jpg,WHITE-WHITE-WHITE-VIOLET-ORANGE,99000000000
resistor (11988).jpg,VIOLET-BROWN,BRAK
resistor (11989).jpg,RED-VIOLET-BROWN,270
resistor (1199).jpg,BLUE-ORANGE-BLACK,63
resistor (11990).jpg,WHITE-WHITE-RED-VIOLET-WHITE,9900
resistor (11991).jpg,ORANGE-YELLOW-VIOLET,340000000
resistor (11992).jpg,WHITE-WHITE-VIOLET-YELLOW-WHITE,990000000
resistor (11993).jpg,YELLOW-BROWN-VIOLET,410000000
resistor (11994).jpg,VIOLET,BRAK
resistor (11995).jpg,WHITE-WHITE-WHITE-VIOLET-WHITE,99000000000
resistor (11996).jpg,BLACK-BLACK-GRAY-BLACK-BLACK,BRAK
resistor (11997).jpg,GRAY-BROWN-ORANGE-BROWN-BROWN,81000
resistor (11998).jpg,WHITE-VIOLET-WHITE-WHITE-BROWN,97000000000
resistor (11999).jpg,GRAY-BROWN-YELLOW-BROWN-BROWN,810000
resistor (12).jpg,RED-ORANGE-BROWN-BROWN-ORANGE,230
resistor (120).jpg,ORANGE-BROWN-RED-BROWN-BROWN,3100
resistor (1200).jpg,BLUE-ORANGE-BLACK,63
resistor (12000).jpg,ORANGE-VIOLET,BRAK
resistor (12001).jpg,BROWN-BROWN-ORANGE-BROWN,11000
resistor (12002).jpg,WHITE-WHITE-WHITE-VIOLET-WHITE,99000000000
resistor (12003).jpg,RED-ORANGE-VIOLET-BROWN,230000000
resistor (12004).jpg,RED-VIOLET-BROWN-YELLOW-BROWN,270
resistor (12005).jpg,WHITE-WHITE-WHITE-BROWN-VIOLET,99000000000
resistor (12006).jpg,WHITE-WHITE-WHITE-WHITE-WHITE,99000000000
resistor (12007).jpg,YELLOW-BROWN-VIOLET,410000000
resistor (12008).jpg,WHITE-WHITE-VIOLET-BROWN-BROWN,990000000
resistor (12009).jpg,YELLOW-VIOLET,BRAK
resistor (1201).jpg,WHITE-BLUE-BLACK,96
resistor (12010).jpg,VIOLET-ORANGE,BRAK
resistor (12011).jpg,GRAY-GRAY-GRAY-GRAY-BROWN,8800000000
resistor (12012).jpg,WHITE-WHITE-VIOLET-BROWN-WHITE,990000000
resistor (12013).jpg,WHITE-WHITE-WHITE-VIOLET-BROWN,99000000000
resistor (12014).jpg,VIOLET-BROWN-BROWN,710
resistor (12015).jpg,WHITE-WHITE-WHITE-WHITE-WHITE,99000000000
resistor (12016).jpg,WHITE-WHITE-WHITE-WHITE-WHITE,99000000000
resistor (12017).jpg,BROWN-BROWN-BROWN-ORANGE-VIOLET,110
resistor (12018).jpg,RED-VIOLET-BROWN-BROWN,270
resistor (12019).jpg,WHITE-WHITE-WHITE-VIOLET-WHITE,99000000000
resistor (1202).jpg,GREEN-ORANGE-ORANGE,53000
resistor (12020).jpg,BLACK-BLACK-BROWN-ORANGE-RED,BRAK
resistor (12021).jpg,BLACK-RED-BROWN-ORANGE-RED,20
resistor (12022).jpg,GRAY-BROWN-ORANGE-RED,81000
resistor (12023).jpg,ORANGE-BROWN-RED,3100
resistor (12024).jpg,GRAY-BROWN-ORANGE-RED-RED,81000
resistor (12025).jpg,BLACK-BROWN-ORANGE-RED-ORANGE,1000
resistor (12026).jpg,GRAY-GRAY-BROWN-ORANGE-RED,880
resistor (12027).jpg,GRAY-BROWN-ORANGE-RED,81000
resistor (12028).jpg,GRAY-BROWN-ORANGE-RED,81000
resistor (12029).jpg,RED-ORANGE-BROWN-BLACK-GRAY,230
resistor (1203).jpg,BLUE,BRAK
resistor (12030).jpg,ORANGE-BROWN-RED,3100
resistor (12031).jpg,ORANGE-BLACK-BLACK-BROWN-RED,30
resistor (12032).jpg,GRAY-GRAY-BROWN-ORANGE-RED,880
resistor (12033).jpg,ORANGE-BLACK-BLACK-BROWN-ORANGE,30
resistor (12034).jpg,GRAY-BLACK-ORANGE-BROWN-ORANGE,80000
resistor (12035).jpg,BLACK-RED-BROWN-BROWN-ORANGE,20
resistor (12036).jpg,GRAY-BROWN-BROWN-ORANGE-RED,810
resistor (12037).jpg,BLACK-BROWN-BROWN-ORANGE-RED,10
resistor (12038).jpg,BLACK-BROWN-BROWN-ORANGE-RED,10
resistor (12039).jpg,BROWN-ORANGE-RED,1300
resistor (1204).jpg,BLUE-BLACK,BRAK
resistor (12040).jpg,BROWN-ORANGE-RED,1300
resistor (12041).jpg,BLACK-ORANGE-BROWN-BLACK,30
resistor (12042).jpg,BLACK-ORANGE-BLACK-BLACK-BROWN,3
resistor (12043).jpg,GRAY-BROWN-ORANGE-RED-RED,81000
resistor (12044).jpg,WHITE-GRAY-BLACK-WHITE-ORANGE,98
resistor (12045).jpg,BROWN-BROWN-ORANGE-RED,11000
resistor (12046).jpg,BLACK-RED-BROWN-RED-BROWN,20
resistor (12047).jpg,GRAY-BROWN-ORANGE-RED,81000
resistor (12048).jpg,BLACK-ORANGE-BLACK-BLACK-BROWN,3
resistor (12049).jpg,BROWN-ORANGE-RED,1300
resistor (1205).jpg,BLUE,BRAK
resistor (12050).jpg,GRAY-BROWN-ORANGE-RED-ORANGE,81000
resistor (12051).jpg,GRAY-BROWN-ORANGE-RED,81000
resistor (12052).jpg,BLACK-RED-ORANGE-BROWN-RED,2000
resistor (12053).jpg,GRAY-BROWN-ORANGE,81000
resistor (12054).jpg,BROWN-ORANGE-RED-ORANGE-RED,1300
resistor (12055).jpg,RED-BROWN-ORANGE-BLACK-BLACK,21000
resistor (12056).jpg,BLACK-ORANGE-BLACK-BLACK-BROWN,3
resistor (12057).jpg,GRAY-BROWN-ORANGE-RED,81000
resistor (12058).jpg,RED-ORANGE-BROWN-BROWN-BLACK,230
resistor (12059).jpg,ORANGE-RED-BROWN-ORANGE-BLACK,320
resistor (1206).jpg,ORANGE-BLACK-BLUE,30000000
resistor (12060).jpg,GRAY-BROWN-ORANGE-RED-ORANGE,81000
resistor (12061).jpg,GRAY-BROWN-ORANGE-ORANGE-RED,81000
resistor (12062).jpg,BROWN-ORANGE,BRAK
resistor (12063).jpg,RED-ORANGE-ORANGE-RED-BROWN,23000
resistor (12064).jpg,BLACK-RED-BROWN-ORANGE-BLACK,20
resistor (12065).jpg,BROWN-ORANGE-RED-ORANGE,1300
resistor (12066).jpg,BROWN-ORANGE,BRAK
resistor (12067).jpg,GRAY-GRAY-BROWN-ORANGE-RED,880
resistor (12068).jpg,RED-ORANGE-BROWN-BLACK,230
resistor (12069).jpg,WHITE-ORANGE-BROWN-ORANGE-BROWN,930
resistor (1207).jpg,BLUE-BLACK,BRAK
resistor (12070).jpg,BROWN-ORANGE-RED-RED,1300
resistor (12071).jpg,BLACK-BROWN-RED-RED-ORANGE,100
resistor (12072).jpg,RED-RED,BRAK
resistor (12073).jpg,BROWN-ORANGE-RED-RED,1300
resistor (12074).jpg,ORANGE-RED-RED,3200
resistor (12075).jpg,BROWN-ORANGE-RED,1300
resistor (12076).jpg,RED-RED-ORANGE-BROWN-RED,22000
resistor (12077).jpg,RED-BROWN-ORANGE-RED-RED,21000
resistor (12078).jpg,GRAY-GRAY-BROWN-ORANGE-RED,880
resistor (12079).jpg,BROWN-ORANGE,BRAK
resistor (1208).jpg,BLACK-BLUE,BRAK
resistor (12080).jpg,BROWN-ORANGE-RED,1300
resistor (12081).jpg,BROWN-ORANGE-RED,1300
resistor (12082).jpg,BROWN-ORANGE-RED,1300
resistor (12083).jpg,RED-ORANGE,BRAK
resistor (12084).jpg,BROWN-ORANGE-RED,1300
resistor (12085).jpg,RED-ORANGE-BROWN,230
resistor (12086).jpg,BROWN-ORANGE-RED,1300
resistor (12087).jpg,BROWN-ORANGE-RED-RED,1300
resistor (12088).jpg,RED-RED-ORANGE-BROWN,22000
resistor (12089).jpg,RED-BROWN-ORANGE-RED-BROWN,21000
resistor (1209).jpg,BLUE-BLACK,BRAK
resistor (12090).jpg,BLACK-RED-BROWN-RED-BROWN,20
resistor (12091).jpg,BROWN-ORANGE-RED,1300
resistor (12092).jpg,ORANGE-BROWN,BRAK
resistor (12093).jpg,RED-ORANGE-BROWN-RED,230
resistor (12094).jpg,RED-BROWN-ORANGE-RED-RED,21000
resistor (12095).jpg,BLACK-BROWN-ORANGE-ORANGE-BROWN,1000
resistor (12096).jpg,RED-BROWN-ORANGE,21000
resistor (12097).jpg,BLACK-BROWN-ORANGE-GRAY-GRAY,1000
resistor (12098).jpg,RED-BROWN-ORANGE-RED,21000
resistor (12099).jpg,RED,BRAK
resistor (121).jpg,BROWN-ORANGE-BROWN-RED-ORANGE,130
resistor (1210).jpg,BLACK-BLUE,BRAK
resistor (12100).jpg,RED-BROWN-ORANGE-RED-RED,21000
resistor (12101).jpg,RED-RED-ORANGE-BROWN-RED,22000
resistor (12102).jpg,RED-RED-ORANGE,22000
resistor (12103).jpg,BLACK-RED-ORANGE-BROWN-RED,2000
resistor (12104).jpg,RED-BROWN-ORANGE-RED-BROWN,21000
resistor (12105).jpg,BLACK-BROWN-GRAY-GRAY-RED,100000000
resistor (12106).jpg,BLACK-BROWN-RED-ORANGE-BROWN,100
resistor (12107).jpg,BROWN-ORANGE-RED,1300
resistor (12108).jpg,BLACK-BROWN-ORANGE-RED-BROWN,1000
resistor (12109).jpg,GRAY-RED-BROWN-ORANGE-RED,820
resistor (1211).jpg,BLUE,BRAK
resistor (12110).jpg,RED-RED-ORANGE-BROWN-BLACK,22000
resistor (12111).jpg,RED-RED-ORANGE-BROWN-RED,22000
resistor (12112).jpg,WHITE-RED-RED,9200
resistor (12113).jpg,RED-RED-ORANGE-BROWN,22000
resistor (12114).jpg,RED-BROWN-ORANGE-RED-RED,21000
resistor (12115).jpg,BROWN-ORANGE-RED-RED,1300
resistor (12116).jpg,,BRAK
resistor (12117).jpg,BROWN-VIOLET,BRAK
resistor (12118).jpg,GRAY-WHITE-WHITE,89000000000
resistor (12119).jpg,BROWN-YELLOW-BROWN-VIOLET,140
resistor (1212).jpg,BLACK-BLUE,BRAK
resistor (12120).jpg,BROWN-VIOLET,BRAK
resistor (12121).jpg,BROWN-YELLOW-BROWN-VIOLET,140
resistor (12122).jpg,BROWN-VIOLET,BRAK
resistor (12123).jpg,BROWN-VIOLET,BRAK
resistor (12124).jpg,BLACK-BROWN-VIOLET-BROWN-YELLOW,10000000
resistor (12125).jpg,BROWN-BLACK,BRAK
resistor (12126).jpg,BROWN-VIOLET-GRAY,1700000000
resistor (12127).jpg,BLACK-BLACK-BROWN,BRAK
resistor (12128).jpg,BLACK-VIOLET-BROWN,70
resistor (12129).jpg,BROWN-VIOLET,BRAK
resistor (1213).jpg,BLUE-ORANGE-BLACK,63
resistor (12130).jpg,,BRAK
resistor (12131).jpg,GRAY-GRAY-BROWN,880
resistor (12132).jpg,BROWN-BROWN-VIOLET,110000000
resistor (12133).jpg,BROWN-YELLOW-BROWN,140
resistor (12134).jpg,VIOLET-BROWN-BROWN,710
resistor (12135).jpg,GRAY-GRAY,BRAK
resistor (12136).jpg,BROWN-BROWN,BRAK
resistor (12137).jpg,GRAY-ORANGE,BRAK
resistor (12138).jpg,BROWN-BROWN-VIOLET,110000000
resistor (12139).jpg,BLACK-BROWN,BRAK
resistor (1214).jpg,ORANGE,BRAK
resistor (12140).jpg,VIOLET-BROWN-BROWN,710
resistor (12141).jpg,BROWN-VIOLET,BRAK
resistor (12142).jpg,BROWN-BLACK,BRAK
resistor (12143).jpg,BROWN-BROWN-VIOLET-GRAY,110000000
resistor (12144).jpg,BROWN-VIOLET,BRAK
resistor (12145).jpg,WHITE-GRAY-BROWN,980
resistor (12146).jpg,BROWN-YELLOW-BROWN-VIOLET,140
resistor (12147).jpg,BROWN-YELLOW-BROWN-VIOLET,140
resistor (12148).jpg,BLACK-BROWN-BLACK,1
resistor (12149).jpg,BROWN,BRAK
resistor (1215).jpg,BLACK-GRAY-BLACK-ORANGE-ORANGE,8
resistor (12150).jpg,BROWN-GRAY,BRAK
resistor (12151).jpg,BROWN-VIOLET,BRAK
resistor (12152).jpg,GRAY-ORANGE-GRAY,8300000000
resistor (12153).jpg,,BRAK
resistor (12154).jpg,BLACK-VIOLET-BROWN-BROWN,70
resistor (12155).jpg,BROWN-BROWN,BRAK
resistor (12156).jpg,VIOLET-BROWN-BROWN,710
resistor (12157).jpg,BROWN-BLACK,BRAK
resistor (12158).jpg,BROWN-ORANGE-GRAY-GRAY,1300000000
resistor (12159).jpg,BROWN-VIOLET,BRAK
resistor (1216).jpg,BLUE-ORANGE-BLACK,63
resistor (12160).jpg,BROWN-BROWN-GRAY-GRAY,1100000000
resistor (12161).jpg,GRAY-GRAY-GRAY-GRAY-GRAY,8800000000
resistor (12162).jpg,BROWN,BRAK
resistor (12163).jpg,BROWN-BROWN-GRAY-GRAY,1100000000
resistor (12164).jpg,BROWN,BRAK
resistor (12165).jpg,BROWN-BROWN,BRAK
resistor (12166).jpg,BROWN-BROWN,BRAK
resistor (12167).jpg,BROWN-BROWN,BRAK
resistor (12168).jpg,BROWN-BROWN,BRAK
resistor (12169).jpg,BROWN-BROWN,BRAK
resistor (1217).jpg,BLUE-GRAY,BRAK
resistor (12170).jpg,GRAY-BROWN-BROWN-GRAY,810
resistor (12171).jpg,WHITE,BRAK
resistor (12172).jpg,ORANGE-WHITE-WHITE-WHITE,39000000000
resistor (12173).jpg,BROWN-BROWN-GRAY-GRAY,1100000000
resistor (12174).jpg,BROWN-GRAY,BRAK
resistor (12175).jpg,,BRAK
resistor (12176).jpg,BROWN-BROWN,BRAK
resistor (12177).jpg,BROWN-BROWN,BRAK
resistor (12178).jpg,,BRAK
resistor (12179).jpg,BROWN-BROWN,BRAK
resistor (1218).jpg,BLUE-GRAY,BRAK
resistor (12180).jpg,BROWN,BRAK
resistor (12181).jpg,ORANGE-BROWN-BROWN,310
resistor (12182).jpg,BROWN-BROWN,BRAK
resistor (12183).jpg,WHITE-ORANGE,BRAK
resistor (12184).jpg,BROWN-BROWN,BRAK
resistor (12185).jpg,BROWN,BRAK
resistor (12186).jpg,,BRAK
resistor (12187).jpg,,BRAK
resistor (12188).jpg,WHITE-WHITE,BRAK
resistor (12189).jpg,BROWN-BROWN-GRAY-GRAY,1100000000
resistor (1219).jpg,BLUE-ORANGE-ORANGE-BLACK,63000
resistor (12190).jpg,,BRAK
resistor (12191).jpg,GRAY-BROWN,BRAK
resistor (12192).jpg,BROWN-GRAY,BRAK
resistor (12193).jpg,GRAY-GRAY-GRAY-GRAY-BROWN,8800000000
resistor (12194).jpg,BROWN-ORANGE-BROWN,130
resistor (12195).jpg,GRAY,BRAK
resistor (12196).jpg,ORANGE,BRAK
resistor (12197).jpg,BROWN,BRAK
resistor (12198).jpg,BROWN-ORANGE-BROWN,130
resistor (12199).jpg,BROWN,BRAK
resistor (122).jpg,ORANGE-BROWN-BROWN-RED-BROWN,310
resistor (1220).jpg,BLUE-ORANGE-BLACK,63
resistor (12200).jpg,GRAY-GRAY-GRAY-GRAY-BROWN,8800000000
resistor (12201).jpg,BROWN-GRAY,BRAK
resistor (12202).jpg,BROWN-GRAY,BRAK
resistor (12203).jpg,BROWN,BRAK
resistor (12204).jpg,ORANGE,BRAK
resistor (12205).jpg,,BRAK
resistor (12206).jpg,ORANGE,BRAK
resistor (12207).jpg,BROWN-BROWN,BRAK
resistor (12208).jpg,,BRAK
resistor (12209).jpg,BROWN-ORANGE-BROWN,130
resistor (1221).jpg,BLACK-BLACK-GRAY-BLUE,BRAK
resistor (12210).jpg,WHITE-GRAY-GRAY-GRAY-GRAY,9800000000
resistor (12211).jpg,BROWN-GRAY-GRAY,1800000000
resistor (12212).jpg,RED-ORANGE-VIOLET-RED-BROWN,230000000
resistor (12213).jpg,BLACK-RED-ORANGE-RED,2000
resistor (12214).jpg,ORANGE-RED-ORANGE-VIOLET-RED,32000
resistor (12215).jpg,BLACK-WHITE-WHITE-WHITE-ORANGE,9000000000
resistor (12216).jpg,BROWN-ORANGE-RED-BROWN,1300
resistor (12217).jpg,BLACK-WHITE-ORANGE-RED-WHITE,9000
resistor (12218).jpg,RED-ORANGE-ORANGE-RED-BROWN,23000
resistor (12219).jpg,BLACK-ORANGE-BROWN-RED-ORANGE,30
resistor (1222).jpg,BLUE-ORANGE-BLACK,63
resistor (12220).jpg,ORANGE-RED-ORANGE-VIOLET-RED,32000
resistor (12221).jpg,BLACK-RED-ORANGE-RED-ORANGE,2000
resistor (12222).jpg,RED-RED-ORANGE-RED,22000
resistor (12223).jpg,BLACK-WHITE-WHITE-WHITE-ORANGE,9000000000
resistor (12224).jpg,BLACK-RED-ORANGE-RED-RED,2000
resistor (12225).jpg,RED-ORANGE-BROWN-RED-BROWN,230
resistor (12226).jpg,BLACK-ORANGE-RED-ORANGE-RED,300
resistor (12227).jpg,RED-ORANGE-ORANGE-BROWN-RED,23000
resistor (12228).jpg,BROWN-RED-ORANGE-ORANGE-RED,12000
resistor (12229).jpg,ORANGE-ORANGE-RED,3300
resistor (1223).jpg,BLUE-ORANGE-ORANGE-BLACK-WHITE,63000
resistor (12230).jpg,BLACK-RED-ORANGE-RED,2000
resistor (12231).jpg,BLACK-BROWN-RED-ORANGE-ORANGE,100
resistor (12232).jpg,BLACK-GRAY-GRAY-GRAY-GRAY,800000000
resistor (12233).jpg,ORANGE-RED-BROWN,320
resistor (12234).jpg,RED-ORANGE-BROWN-RED,230
resistor (12235).jpg,RED-ORANGE-BROWN-RED,230
resistor (12236).jpg,ORANGE-RED-ORANGE-RED,32000
resistor (12237).jpg,GRAY-BLACK-WHITE-RED-RED,80000000000
resistor (12238).jpg,RED-ORANGE-BROWN-RED,230
resistor (12239).jpg,RED-ORANGE-BROWN-RED,230
resistor (1224).jpg,BLUE-ORANGE-ORANGE-BLACK,63000
resistor (12240).jpg,RED-ORANGE-VIOLET-RED,230000000
resistor (12241).jpg,BLACK-RED-ORANGE-RED-GRAY,2000
resistor (12242).jpg,BLACK-RED-ORANGE-BROWN-ORANGE,2000
resistor (12243).jpg,RED-ORANGE-VIOLET-ORANGE-RED,230000000
resistor (12244).jpg,BLACK-GRAY-GRAY-GRAY-GRAY,800000000
resistor (12245).jpg,ORANGE-RED-ORANGE-ORANGE-RED,32000
resistor (12246).jpg,WHITE-WHITE-BLACK-RED-ORANGE,99
resistor (12247).jpg,RED-ORANGE-ORANGE-RED-BROWN,23000
resistor (12248).jpg,GRAY-GRAY-GRAY-RED-ORANGE,8800000000
resistor (12249).jpg,BLACK-ORANGE-RED-WHITE-ORANGE,300
resistor (1225).jpg,ORANGE-BLUE-BLACK-ORANGE-ORANGE,36
resistor (12250).jpg,RED-ORANGE-BROWN-BROWN-RED,230
resistor (12251).jpg,GRAY-BLACK-ORANGE-RED-RED,80000
resistor (12252).jpg,BLACK-ORANGE-ORANGE-RED-BLACK,3000
resistor (12253).jpg,BROWN-RED-ORANGE-RED,12000
resistor (12254).jpg,BLACK-BROWN-RED-ORANGE-ORANGE,100
resistor (12255).jpg,BLACK-RED-ORANGE-ORANGE-BROWN,2000
resistor (12256).jpg,ORANGE-RED,BRAK
resistor (12257).jpg,BLACK-RED-ORANGE-BROWN-RED,2000
resistor (12258).jpg,RED-ORANGE-VIOLET-RED,230000000
resistor (12259).jpg,ORANGE-VIOLET-RED,3700
resistor (1226).jpg,BLUE-ORANGE-BLACK,63
resistor (12260).jpg,ORANGE-BROWN,BRAK
resistor (12261).jpg,BROWN-ORANGE-RED-ORANGE-BROWN,1300
resistor (12262).jpg,GRAY-ORANGE-ORANGE-BROWN,83000
resistor (12263).jpg,GRAY-VIOLET-BROWN-ORANGE-RED,870
resistor (12264).jpg,VIOLET-ORANGE-RED-BROWN,7300
resistor (12265).jpg,ORANGE-RED-BLACK,32
resistor (12266).jpg,GRAY-ORANGE-ORANGE-ORANGE,83000
resistor (12267).jpg,VIOLET-BROWN-ORANGE-RED,71000
resistor (12268).jpg,VIOLET-ORANGE,BRAK
resistor (12269).jpg,BROWN-ORANGE-RED-BROWN,1300
resistor (1227).jpg,BLUE-BLACK,BRAK
resistor (12270).jpg,RED-ORANGE,BRAK
resistor (12271).jpg,RED-ORANGE-BROWN-VIOLET-BROWN,230
resistor (12272).jpg,BROWN-ORANGE-RED-ORANGE,1300
resistor (12273).jpg,BROWN-RED-VIOLET-BROWN,120000000
resistor (12274).jpg,RED-VIOLET-BROWN-ORANGE-RED,270
resistor (12275).jpg,BROWN-ORANGE-RED-BROWN,1300
resistor (12276).jpg,GRAY-VIOLET-BROWN-ORANGE-BROWN,870
resistor (12277).jpg,RED-ORANGE-VIOLET,230000000
resistor (12278).jpg,GRAY-RED-VIOLET-ORANGE,820000000
resistor (12279).jpg,VIOLET-BROWN-ORANGE-BROWN,71000
resistor (1228).jpg,ORANGE-ORANGE-ORANGE-BLACK,33000
resistor (12280).jpg,BROWN-ORANGE-BROWN-VIOLET,130
resistor (12281).jpg,BROWN-BROWN-ORANGE-VIOLET-RED,11000
resistor (12282).jpg,GRAY-ORANGE-BROWN-RED,830
resistor (12283).jpg,RED-VIOLET-ORANGE-RED,27000
resistor (12284).jpg,BLACK-ORANGE-RED-BROWN-ORANGE,300
resistor (12285).jpg,GRAY-GRAY-ORANGE-BROWN-RED,88000
resistor (12286).jpg,VIOLET-ORANGE-RED,7300
resistor (12287).jpg,BLACK-BROWN-RED-BROWN-ORANGE,100
resistor (12288).jpg,RED-VIOLET-ORANGE,27000
resistor (12289).jpg,ORANGE-BROWN-RED-BROWN-BLACK,3100
resistor (1229).jpg,BLUE-ORANGE-BLACK-ORANGE-WHITE,63
resistor (12290).jpg,VIOLET-ORANGE-RED-BROWN,7300
resistor (12291).jpg,RED-ORANGE,BRAK
resistor (12292).jpg,WHITE-ORANGE-WHITE-ORANGE,93000000000
resistor (12293).jpg,GRAY-RED-BROWN-ORANGE-BROWN,820
resistor (12294).jpg,BROWN-VIOLET-ORANGE-RED,17000
resistor (12295).jpg,ORANGE-RED-ORANGE-GRAY,32000
resistor (12296).jpg,ORANGE-RED-ORANGE-VIOLET,32000
resistor (12297).jpg,GRAY-BROWN-VIOLET-ORANGE-BROWN,810000000
